JL101A,光学A星
MF01B20-BD,吉星20星_北斗
KDJD01,宽带节点01星
KDJD02,宽带节点02星
MF01B01,吉星01星
MF01B02,吉星02星
MF01B03,吉星03星
MF01B04,吉星04星
MF01B05,吉星05星
MF01B06,吉星06星
MF01B07,吉星07星
MF01B08,吉星08星
MF01B09,吉星09星
MF01B10,吉星10星
MF01B11,吉星11星
MF01B12,吉星12星
MF01B13,吉星13星
MF01B14,吉星14星
MF01B15,吉星15星
MF01B16,吉星16星
MF01B17,吉星17星
MF01B18,吉星18星
MF01B19,吉星19星
MF01B20,吉星20星
JL1KF02A,宽幅02A星
JL1GF04B,高分04B星
JL1KF02A-BD,宽幅02A星_北斗
JL1GF04B-BD,高分04B星_北斗
YY018,云遥一号18星
YY019,云遥一号19星
YY020,云遥一号20星
